initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
"tu",,,"Vendredi 2","18h","L’Alambik MJC Ronceray",,"complet","sv","En terre","Cie Nomorpa","spect. jeune public",,,,,,,,,,,,,,
"zz",,,"Vendredi 2",,"Le Pâtis",,"à partir de 14€","sv","Au secours on a un bébé",,"pièce comique",,,,,,,,,,,,,,
"jlb",,,"Vendredi 2","20h30","Le Rabelais","Changé","7 à 11€","sv","Oiseau","Cie de la Polka","théâtre",,,,,,,,,,,,,,
"zz",,,"Vendredi 2","18h45","Le Val’Rhonne","Moncé-en-Belin",6 €,"sv","Tout tournéboulé","Cie la Limprost","conte musical",,,,,,,,,,,,,,
"tu","Théâtre de l'Acthalia",,"Vendredi 2","20h30","Salle des concerts",,"10 à 18 €","sv","Zola l’infréquentable","Didier Caron","théâtre historique",,,,,,,,,,,,,,
"zz",,,"Vendredi 23","20h30","chapiteau du plongeoir",,"5 à 12€","sv","Sarabande","Cie Frotter Frapper","cirque et musique",,,,,,,,,,,,,,
"jlb",,,"Vendredi 23","21h00","Comédie Le Mans",,22 €,"sv","Un spectacle de type Magie","Julien Sonjon","Magie",,,,,,,,,,,,,,
"tu",,,"Vendredi 23","19h","La Fonderie",,0 €,"sv",,"Barolosolo","clown, sortie de résidence",,,,,,,,,,,,,,
"zz",,,"Vendredi 23","20h30","Le Pâtis",,"à partir de 14€","sv","Au secours on a un bébé",,"pièce comique",,,,,,,,,,,,,,
"bl","Festival Malices au Pays du Loir",,"Vendredi 23","19h","Salle Coppélia","La Flèche",4 €,"sv","Faraëkoto","Cie 6ème dimension","danse hip-hop",,,,,,,,,,,,,,
"jlb",,,"Vendredi 23","20h30","Théâtre Municipal","Mamers","5 à 8 €","sv","L'amour vache","Les trétaux de Malestables","théâtre",,,,,,,,,,,,,,
"jlb",,,"Vendredi 9","20h30","Comédie Le Mans",,25 €,"sv","Imparfaits","Florian Lex","One man Show",,,,,,,,,,,,,,
"jlb",,,"Vendredi 9","20h30","Complexe Atlantis","Saint-Cosme-en-Vairais",10 €,"sv","Les Lettres de mon Moulin","Corinne Menant","lecture théatraliséee",,,,,,,,,,,,,,
"zz",,,"Vendredi 9","20h30","L’Éolienne","Arnage","7 à 14€","sv","Coup de sifflet",,"théâtre intrigue policière",,,,,,,,,,,,,,
"zz",,,"Vendredi 9","20h30","Le Pâtis",,"tnc","sv","Bienvenue à Troulane",,"comédie/chant",,,,,,,,,,,,,,
"zz",,,"Vendredi 9","19h","Le Val’Rhonne","Moncé-en-Belin",8 €,"sv","Cowboy ou Indien ?","Cie Groupe Déjà","théâtre",,,,,,,,,,,,,,
"tu","Semaine de L’Établissement d’Enseignement Artistique 5 au 10 février Loué/Brûlon/Coulans-sur-Gée","ateliers de musique, de danse et de peinture","Lundi 5",,,,,,,,,,,,,,,,,,,"https://www.cc-lbn.fr/culture-et-sport/culture/",,,
"tu","Festival Festi'Mioches #13","Festival jeune public les 28, 29 fevrier et 1 er mars","Mercredi 28","10h-22h","L'Alambik MJC Ronceray",,,,,,,,,,,,,,,,,,,,
"zz",,,"Vendredi 23","18h30","Théâtre Paul Scarron",,"bénéfice pour les missions en miieu médical et social",,"Éducation sentimentale",,"solo clowne",,,,,,,,,,,,,,
